Time,Irradiation,Temperature,Incidence_Angle,Load_Signal
2024-09-19 19:36:39,1000,25,0,0
2024-09-19 19:36:41,1000,25,0,0
2024-09-19 19:36:43,1000,25,0,0
2024-09-19 19:36:45,1000,25,0,0
2024-09-19 19:36:47,1000,25,0,0
2024-09-19 19:36:49,1000,25,0,0
2024-09-19 19:36:51,1000,25,0,0
2024-09-19 19:36:53,1000,25,0,0
2024-09-19 19:36:56,1000,25,0,0
2024-09-19 19:36:58,1000,25,0,0
2024-09-19 19:37:00,1000,25,0,0
2024-09-19 19:37:02,1000,25,0,0
2024-09-19 19:37:04,1000,25,0,0
2024-09-19 19:37:06,1000,25,0,0
2024-09-19 19:37:08,1000,25,0,0
2024-09-19 19:37:10,1000,25,0,0
2024-09-19 19:37:12,1000,25,0,0
2024-09-19 19:37:14,1000,25,0,0
2024-09-19 19:37:16,1000,25,0,0
2024-09-19 19:37:18,1000,25,0,0
2024-09-19 19:37:20,1000,25,0,0
2024-09-19 19:37:22,1000,25,0,0
2024-09-19 19:37:24,1000,25,0,0
2024-09-19 19:37:26,1000,25,0,0
2024-09-19 19:37:28,1000,25,0,0
2024-09-19 19:37:30,1000,25,0,0
2024-09-19 19:37:32,1000,25,0,0
2024-09-19 19:37:34,1000,25,0,0
2024-09-19 19:37:36,1000,25,0,0
2024-09-19 19:37:39,1000,25,0,0
2024-09-19 19:37:41,1000,25,0,0
2024-09-19 19:37:43,1000,25,0,0
2024-09-19 19:37:45,1000,25,0,0
2024-09-19 19:37:47,1000,25,0,0
2024-09-19 19:37:49,1000,25,0,0
2024-09-19 19:37:51,1000,25,0,0
2024-09-19 19:37:53,1000,25,0,0
2024-09-19 19:37:55,1000,25,0,0
2024-09-19 19:37:57,1000,25,0,0
2024-09-19 19:37:59,1000,25,0,0
2024-09-19 19:38:01,1000,25,0,0
2024-09-19 19:38:03,1000,25,0,0
2024-09-19 19:38:05,1000,25,0,0
2024-09-19 19:38:07,1000,25,0,0
2024-09-19 19:38:09,1000,25,0,0
2024-09-19 19:38:11,1000,25,0,0
2024-09-19 19:38:13,1000,25,0,0
2024-09-19 19:38:15,1000,25,0,0
2024-09-19 19:38:17,1000,25,0,0
2024-09-19 19:38:19,1000,25,0,0
2024-09-19 19:38:22,1000,25,0,0
